leaseNumber,company,supplier,arrangement,invoicing,notes,status
6424108385,AGI Cargo LLC,Wolter Inc,Regular,Net-30,,Enabled
6424108510,AGI Cargo LLC,Wolter Inc,Regular,Net-30,,Enabled
6424108515,AGI Cargo LLC,Wolter Inc,Regular,Net-30,,Enabled
6425108837,AGI Cargo LLC,Wolter Inc,Regular,Net-30,,Enabled
SUP-00273,AGI Post Inc,Penske Truck Leasing AGI Post-0779-10,Regular,Net-30,,Enabled
1005-044,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,Net-30,,Enabled
1016-034,AGI Cargo LLC,XCED Aviation Services - TAS/ATS/AGI US,Regular,Net-30,,Enabled
1016-036,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,Net-30,,Enabled
19-10298,AGI Ground Inc,Alliance Funding Group,Regular,Net-30,,Enabled
19-10302,AGI Ground Inc,Pawnee Equipment Receivables LLC,Regular,Net-30,,Enabled
20066-02,AGI Ground Inc,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,Net-30,,Enabled
301-0180876-001,AGI Cargo LLC,Wells Fargo 301-0180876-002,Regular,Net-30,,Enabled
301-0180876-002,AGI Ground Inc,Wells Fargo 301-0180876-002,Regular,Net-30,,Enabled
395063,AGI Post Inc,Penske Truck Leasing AGI Post-0779-10,Regular,Net-30,,Enabled
395461,AGI Post Inc,Penske Truck Leasing AGI Post-0779-10,Regular,Net-30,,Enabled
400-8722246-014,AGI Cargo LLC,"HYG Financial Services, INC.",Regular,Net-30,,Enabled
403117,AGI Post Inc,Penske Truck Leasing AGI Post-0779-10,Regular,Net-30,,Enabled
403145,AGI Post Inc,Penske Truck Leasing AGI Post-0779-10,Regular,Net-30,,Enabled
50340148-10000322312,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,Net-30,,Enabled
50340148-10000322313,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,Net-30,,Enabled
50340148-10000322314,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,Net-30,,Enabled
50340148-10000322315,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,Net-30,,Enabled
50340148-10000322316,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,Net-30,,Enabled
50340148-10000322317,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,Net-30,,Enabled
50340148-10000322318,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,Net-30,,Enabled
50340148-10000322319,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,Net-30,,Enabled
50340148-10000322320,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,Net-30,,Enabled
50340148-10000322321,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,Net-30,,Enabled
50344350-10000324653,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,Net-30,,Enabled
50344757-10000324950,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,Net-30,,Enabled
50344757-10000324951,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,Net-30,,Enabled
50344757-10000324952,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,Net-30,,Enabled
50344757-10000324953,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,Net-30,,Enabled
50344757-10000324954,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,Net-30,,Enabled
50344843-10000325013,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,Net-30,,Enabled
50380499-10000353912,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,Net-30,,Enabled
50380499-10000353913,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,Net-30,,Enabled
50380499-10000353914,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,Net-30,,Enabled
50381732-10000354782,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,Net-30,,Enabled
50381732-10000354783,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,Net-30,,Enabled
50381732-10000354784,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,Net-30,,Enabled
50381732-10000354785,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,Net-30,,Enabled
50381732-10000354786,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,Net-30,,Enabled
50381732-10000354787,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,Net-30,,Enabled
50381732-10000354788,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,Net-30,,Enabled
50383859-10000356436,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,Net-30,,Enabled
50399459-10000367784,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,Net-30,,Enabled
CONTRACT-RAR-001462,AGI Cargo LLC,Eagle Mark 4 Equipment Inc,Regular,Net-30,,Enabled
RC000049,AGI Ground Inc,Mercury GSE,Regular,Net-30,,Enabled
RC000282,AGI Cargo LLC,Mercury GSE,Regular,Net-30,,Enabled
RLT0032,AGI Cargo LLC,Mercury GSE,Regular,Net-30,,Enabled
RLT0033,AGI Cargo LLC,Mercury GSE,Regular,Net-30,,Enabled
RSA071867,AGI Cargo LLC,"Alta Equipment Holdings, Inc DBA Alta Industrial Equipment Co",Regular,Net-30,,Enabled
RSA072226,AGI Cargo LLC,"Alta Equipment Holdings, Inc DBA Alta Industrial Equipment Co",Regular,Net-30,,Enabled
TBL280-LAX,AGI Ground Inc,Aero Ground Solutions LLC,Regular,Net-30,,Enabled
TX169783,AGI Cargo LLC,"Equipment Depot Texas, Inc.",Regular,Net-30,,Enabled
UF2649,AGI Cargo LLC,Pape Material Handling - TAS/AGI/ATS,Regular,Net-30,,Enabled
W936861,AGI Cargo LLC,Williams Scotsman,Regular,Net-30,,Enabled
12552296,AGI Post Inc,Penske Truck Leasing AGI Post-0779-10,Regular,Net-30,,Enabled
20190311,AGI Ground Inc,"TCR Americas, LLC, - ATS",Quarterly,Net-30,,Enabled
20240220,AGI Ground Inc,"TCR Americas, LLC, - ATS",Quarterly,Net-30,,Enabled
CO20220225,AGI Ground Inc,"TCR Americas, LLC, - ATS",Quarterly,Net-30,,Enabled
CO20220518,AGI Ground Inc,"TCR Americas, LLC, - ATS",Quarterly,Net-30,,Enabled
CO20220520,AGI Ground Inc,"TCR Americas, LLC, - ATS",Quarterly,Net-30,,Enabled
CO20220628,AGI Ground Inc,"TCR Americas, LLC, - ATS",Quarterly,Net-30,,Enabled
CO20221205,AGI Ground Inc,"TCR Americas, LLC, - ATS",Quarterly,Net-30,,Enabled
CO20221219,AGI Ground Inc,"TCR Americas, LLC, - ATS",Quarterly,Net-30,,Enabled
